Id|Title|Body
3061|"<t>Calling</t> <t>a</t> <t>function</t> <t>of</t> <t>a</t> <t>module</t> <t>from</t> <t>a</t> <t>string</t> <t>with</t> <t>the</t> <t>function's</t> <t>name</t>"|"<t>What</t> <t>is</t> <t>the</t> <t>best</t> <t>way</t> <t>to</t> <t>go</t> <t>about</t> <t>calling</t> <t>a</t> <t>function</t> <t>given</t> <t>a</t> <t>string</t> <t>with</t> <t>the</t> <t>function's</t> <t>name</t> <t>in</t> <t>a</t> <t>Python</t> <t>program</t>.  <t>For</t> <t>example</t>, <t>let's</t> <t>say</t> <t>that</t> <t>I</t> <t>have</t> <t>a</t> <t>module</t> <code><c>foo</c></code>, <t>and</t> <t>I</t> <t>have</t> <t>a</t> <t>string</t> <t>whose</t> <t>contents</t> <t>are</t> <code>""<c>bar</c>""</code>. <t>What</t> <t>is</t> <t>the</t> <t>best</t> <t>way</t> <t>to</t> <t>go</t> <t>about</t> <t>calling</t> <code><c>foo</c><c>.</c><c>bar(</c>)</code>?

<t>I</t> <t>need</t> <t>to</t> <t>get</t> <t>the</t> <t>return</t> <t>value</t> <t>of</t> <t>the</t> <t>function</t>, <t>which</t> <t>is</t> <t>why</t> <t>I</t> <t>don't</t> <t>just</t> <t>use</t> <code><c>eval</c></code>. <t>I</t> <t>figured</t> <t>out</t> <t>how</t> <t>to</t> <t>do</t> <t>it</t> <t>by</t> <t>using</t> <code><c>eval</c></code> <t>to</t> <t>define</t> <t>a</t> <t>temp</t> <t>function</t> <t>that</t> <t>returns</t> <t>the</t> <t>result</t> <t>of</t> <t>that</t> <t>function</t> <t>call</t>, <t>but</t> <t>I'm</t> <t>hoping</t> <t>that</t> <t>there</t> <t>is</t> <t>a</t> <t>more</t> <t>elegant</t> <t>way</t> <t>to</t> <t>do</t> <t>this</t>.
"
19151|"<t>Build</t> <t>a</t> <t>Basic Python</t> <t>Iterator</t>"|"<t>How</t> <t>would</t> <t>one</t> <t>create</t> <t>an</t> <t>iterative</t> <t>function</t> (<t>or</t> <t>iterator</t> <t>object</t>) <t>in</t> <t>python</t>?
"
22617|"<t>Format</t> <t>numbers</t> <t>to</t> <t>strings</t> <t>in</t> <t>Python</t>"|"<t>I</t> <t>need</t> <t>to</t> <t>find</t> <t>out</t> <t>how</t> <t>to</t> <t>format</t> <t>numbers</t> <t>as</t> <t>strings</t>. <t>My</t> <t>code</t> <t>is</t> <t>here</t>:

<code><c>return</c> <c>str(</c><c>hours</c>)<c>+</c>"":""<c>+</c><c>str(</c><c>minutes</c>)<c>+</c>"":""<c>+</c><c>str(</c><c>seconds</c>)<c>+</c>"" ""<c>+</c><c>ampm</c>
</code>

<t>Hours</t> <t>and</t> <t>minutes</t> <t>are</t> <t>integers</t>, <t>and</t> <t>seconds</t> <t>is</t> <t>a</t> <t>float</t>.  <t>the</t> <t>str</t>() <t>function</t> <t>will</t> <t>convert</t> <t>all</t> <t>of</t> <t>these</t> <t>numbers</t> <t>to</t> <t>the</t> <t>tenths</t> (<t>0</t>.<t>1</t>) <t>place</t>.  <t>So</t> <t>instead</t> <t>of</t> <t>my</t> <t>string</t> <t>outputting</t> ""<t>5</t>:<t>30</t>:<t>59</t>.<t>07</t> <t>pm</t>"", <t>it</t> <t>would</t> <t>display</t> <t>something</t> <t>like</t> ""<t>5.0:30.0:59.1</t> <t>pm</t>"".

<t>Bottom</t> <t>line</t>, <t>what</t> <t>library</t> <t>/</t> <t>function</t> <t>do</t> <t>I</t> <t>need</t> <t>to</t> <t>do</t> <t>this</t> <t>for</t> <t>me</t>?
"
22676|"<t>How</t> <t>do</t> <t>I</t> <t>download</t> <t>a</t> <t>file</t> <t>over</t> <t>HTTP</t> <t>using</t> <t>Python</t>?"|"<t>I</t> <t>have</t> <t>a</t> <t>small</t> <t>utility</t> <t>that</t> <t>I</t> <t>use</t> <t>to</t> <t>download</t> <t>a</t> <t>MP3</t> <t>from</t> <t>a</t> <t>website</t> <t>on</t> <t>a</t> <t>schedule</t> <t>and</t> <t>then</t> <t>builds/updates</t> <t>a</t> <t>podcast</t> <t>XML</t> <t>file</t> <t>which</t> <t>I've</t> <t>obviously</t> <t>added</t> <t>to</t> <t>iTunes</t>.

<t>The</t> <t>text</t> <t>processing</t> <t>that</t> <t>creates/updates</t> <t>the</t> <t>XML</t> <t>file</t> <t>is</t> <t>written</t> <t>in</t> <t>Python</t>. <t>I</t> <t>use</t> <t>wget</t> <t>inside</t> <t>a</t> <t>Windows</t> <code><c>.</c><c>bat</c></code> <t>file</t> <t>to</t> <t>download</t> <t>the</t> <t>actual</t> <t>MP3</t> <t>however</t>. <t>I</t> <t>would</t> <t>prefer</t> <t>to</t> <t>have</t> <t>the</t> <t>entire</t> <t>utility</t> <t>written</t> <t>in</t> <t>Python</t> <t>though</t>.

<t>I</t> <t>struggled</t> <t>though</t> <t>to</t> <t>find</t> <t>a</t> <t>way</t> <t>to</t> <t>actually</t> <t>down</t> <t>load</t> <t>the</t> <t>file</t> <t>in</t> <t>Python</t>, <t>thus</t> <t>why</t> <t>I</t> <t>resorted</t> <t>to</t> <code><c>wget</c></code>.

<t>So</t>, <t>how</t> <t>do</t> <t>I</t> <t>download</t> <t>the</t> <t>file</t> <t>using</t> <t>Python</t>?
"
25665|"<t>Python</t> <t>module</t> <t>for</t> <t>converting</t> <t>PDF</t> <t>to</t> <t>text</t>"|"<t>Which</t> <t>are</t> <t>the</t> <t>best</t> <t>Python</t> <t>modules</t> <t>to</t> <t>convert</t> <t>PDF</t> <t>files</t> <t>into</t> <t>text</t>? 
"
35988|"<t>C-like</t> <t>structures</t> <t>in</t> <t>Python</t>"|"<t>Is</t> <t>there</t> <t>a</t> <t>way</t> <t>to</t> <t>conveniently</t> <t>define</t> <t>a</t> <t>C-like</t> <t>structure</t> <t>in</t> <t>Python</t>? <t>I'm</t> <t>tired</t> <t>of</t> <t>writing</t> <t>stuff</t> <t>like</t>:

<code><c>class</c> <c>MyStruct(</c>):
    <c>def</c> <c>__init__(</c><c>self</c>, <c>field1</c>, <c>field2</c>, <c>field3</c>):
        <c>self</c><c>.</c><c>field1</c> <c>=</c> <c>field1</c>
        <c>self</c><c>.</c><c>field2</c> <c>=</c> <c>field2</c>
        <c>self</c><c>.</c><c>field3</c> <c>=</c> <c>field3</c>
</code>
"
36139|"<t>How</t> <t>to</t> <t>sort</t> <t>a</t> <t>list</t> <t>of</t> <t>strings</t>?"|"<t>What</t> <t>is</t> <t>the</t> <t>best</t> <t>way</t> <t>of</t> <t>creating</t> <t>an</t> <t>alphabetically</t> <t>sorted</t> <t>list</t> <t>in</t> <t>Python</t>?
"
36901|"<t>What</t> <t>does</t> <t>**</t> (<t>double</t> <t>star</t>) <t>and</t> <t>*</t> (<t>star</t>) <t>do</t> <t>for</t> <t>parameters</t>?"|"<t>In</t> <t>the</t> <t>following</t> <t>method</t> <t>definitions</t>, <t>what</t> <t>does</t> <t>the</t> <code><c>*</c></code> <t>and</t> <code><c>**</c></code> <t>do</t> <t>for</t> <code><c>param2</c></code>?

<code><c>def</c> <c>foo(</c><c>param1</c>, <c>*</c><c>param2</c>):
<c>def</c> <c>bar(</c><c>param1</c>, <c>**</c><c>param2</c>):
</code>
"
36932|"<t>How</t> <t>can</t> <t>I</t> <t>represent</t> <t>an</t> '<t>Enum</t>' <t>in</t> <t>Python</t>?"|"<t>I'm</t> <t>mainly</t> <t>a</t> <t>C#</t> <t>developer</t>, <t>but</t> <t>I'm</t> <t>currently</t> <t>working</t> <t>on</t> <t>a</t> <t>project</t> <t>in</t> <t>Python</t>.

<t>How</t> <t>can</t> <t>I</t> <t>represent</t> <t>the</t> <t>equivalent</t> <t>of</t> <t>an</t> <t>Enum</t> <t>in</t> <t>Python</t>?  
"
38987|"<t>How</t> <t>to</t> <t>merge</t> <t>two</t> <t>dictionaries</t> <t>in</t> <t>a</t> <t>single</t> <t>expression</t>?"|"<t>I</t> <t>have</t> <t>two</t> <t>Python</t> <t>dictionaries</t>, <t>and</t> <t>I</t> <t>want</t> <t>to</t> <t>write</t> <t>a</t> <t>single</t> <t>expression</t> <t>that</t> <t>returns</t> <t>these</t> <t>two</t> <t>dictionaries</t>, <t>merged</t>.  <t>The</t> <code><c>update(</c>)</code> <t>method</t> <t>would</t> <t>be</t> <t>what</t> <t>I</t> <t>need</t>, <t>if</t> <t>it</t> <t>returned</t> <t>its</t> <t>result</t> <t>instead</t> <t>of</t> <t>modifying</t> <t>a</t> <t>dict</t> <t>in-place</t>.

<code><c>&gt;&gt;&gt;</c> <c>x</c> <c>=</c> {'<c>a</c>':<c>1</c>, '<c>b</c>': <c>2</c>}
<c>&gt;&gt;&gt;</c> <c>y</c> <c>=</c> {'<c>b</c>':<c>10</c>, '<c>c</c>': <c>11</c>}
<c>&gt;&gt;&gt;</c> <c>z</c> <c>=</c> <c>x</c><c>.</c><c>update(</c><c>y</c>)
<c>&gt;&gt;&gt;</c> <c>print(</c><c>z</c>)
<c>None</c>
<c>&gt;&gt;&gt;</c> <c>x</c>
{'<c>a</c>': <c>1</c>, '<c>b</c>': <c>10</c>, '<c>c</c>': <c>11</c>}
</code>

<t>How</t> <t>can</t> <t>I</t> <t>get</t> <t>that</t> <t>final</t> <t>merged</t> <t>dict</t> <t>in</t> <code><c>z</c></code>, <t>not</t> <code><c>x</c></code>?

(<t>To</t> <t>be</t> <t>extra-clear</t>, <t>the</t> <t>last-one-wins</t> <t>conflict-handling</t> <t>of</t> <code><c>dict</c><c>.</c><c>update(</c>)</code> <t>is</t> <t>what</t> <t>I'm</t> <t>looking</t> <t>for</t> <t>as</t> <t>well</t>.)
"
