Id|Title|Body
509211|Explain slice notation|"<p>I need a good explanation (references are a plus) on Python's slice notation. </p>

<p>To me, this notation needs a bit of picking up. </p>

<p>It looks extremely powerful, but I haven't quite got my head around it.</p>
"
12836128|Convert list to tuple in Python|"<p>I'm trying to convert a list to a tuple. </p>

<p>When I google it, I find a lot of answers similar to:</p>

<pre><code>l = [4,5,6]
tuple(l)
</code></pre>

<p>But if I do that I get this error message:</p>

<blockquote>
  <p>TypeError: 'tuple' object is not callable</p>
</blockquote>

<p>How can I fix this problem?</p>
"
6996603|How to delete a file or folder?|"<p>How do I delete a file or folder in Python?</p>
"
2582138|finding and replacing elements in a list (python)|"<p>I have to search through a list and replace all occurrences of one element with another. So far my attempts in code are getting me nowhere, what is the best way to do this?</p>

<p>For example, suppose my list has the following integers</p>

<pre><code>&gt;&gt;&gt; a = [1,2,3,4,5,1,2,3,4,5,1]
</code></pre>

<p>and I need to replace all occurrences of the number 1 with the value 10 so the output I need is </p>

<pre><code>&gt;&gt;&gt; a = [10, 2, 3, 4, 5, 10, 2, 3, 4, 5, 10]
</code></pre>

<p>Thus my goal is to replace all instances of the number 1 with the number 10.</p>
"
4289331|Python: Extract numbers from a string|"<p>I would extract all the numbers contained in a string. Which is the better suited for the purpose, regular expressions or the <code>isdigit()</code> method?</p>

<p>Example:</p>

<pre><code>line = ""hello 12 hi 89""
</code></pre>

<p>Result:</p>

<pre><code>[12, 89]
</code></pre>
"
2504411|Proper indentation for Python multiline strings|"<p>What is the proper indentation for Python multiline strings within a function?</p>

<pre><code>    def method():
        string = """"""line one
line two
line three""""""
</code></pre>

<p>or</p>

<pre><code>    def method():
        string = """"""line one
        line two
        line three""""""
</code></pre>

<p>or something else?</p>

<p>It looks kind of weird to have the string hanging outside the function in the first example.</p>
"
27341064|How do I fix 'ImportError: cannot import name IncompleteRead'?|"<p>When I try to install anything with <code>pip</code> or <code>pip3</code>, I get:</p>

<pre><code>$ sudo pip3 install python3-tk
Traceback (most recent call last):
  File ""/usr/bin/pip3"", line 9, in &lt;module&gt;
    load_entry_point('pip==1.5.6', 'console_scripts', 'pip3')()
  File ""/usr/lib/python3/dist-packages/pkg_resources.py"", line 356, in load_entry_point
    return get_distribution(dist).load_entry_point(group, name)
  File ""/usr/lib/python3/dist-packages/pkg_resources.py"", line 2476, in load_entry_point
    return ep.load()
  File ""/usr/lib/python3/dist-packages/pkg_resources.py"", line 2190, in load
    ['__name__'])
  File ""/usr/lib/python3/dist-packages/pip/__init__.py"", line 61, in &lt;module&gt;
    from pip.vcs import git, mercurial, subversion, bazaar  # noqa
  File ""/usr/lib/python3/dist-packages/pip/vcs/mercurial.py"", line 9, in &lt;module&gt;
    from pip.download import path_to_url
  File ""/usr/lib/python3/dist-packages/pip/download.py"", line 25, in &lt;module&gt;
    from requests.compat import IncompleteRead
ImportError: cannot import name 'IncompleteRead'
</code></pre>

<p>I have a Ubuntu 14.10 system.</p>

<p>How can I fix this problem?</p>
"
4978787|How to split a string into array of characters with Python?|"<p>I've tried to look around the web for answers to splitting a string into an array of characters but I can't seem to find a simple method</p>

<p><code>str.split(//)</code> does not seem to work like Ruby does. Is there a simple way of doing this without looping?</p>
"
713847|Recommendations of Python REST (web services) framework?|"<p>Is there a list somewhere of recommendations of different Python-based REST frameworks for use on the serverside to write your own RESTful APIs? Preferably with pros and cons.</p>

<p>Please feel free to add recommendations here. :)</p>
"
454854|No module named MySQLdb|"<p>I am using Python version 2.5.4 and install MySQL version 5.0 and Django. Django is working fine with Python, but not MySQL. I am using it in Windows Vista.</p>
"
123198|How do I copy a file in python?|"<p>How do I copy a file in Python? I couldn't find anything under <a href=""https://docs.python.org/2/library/os.html"" rel=""noreferrer""><code>os</code></a>.</p>
"
4934806|How can I find script's directory with Python?|"<p>Consider the following Python code:</p>

<pre><code>import os
print os.getcwd()
</code></pre>

<p>I use <code>os.getcwd()</code> to <a href=""http://www.faqs.org/docs/diveintopython/regression_path.html"" rel=""noreferrer"">get the script file's directory location</a>. When I run the script from the command line it gives me the correct path whereas when I run it from a script run by code in a Django view it prints <code>/</code>.</p>

<p>How can I get the path to the script from within a script run by a Django view?</p>

<p><strong>UPDATE:</strong><br>
Summing up the answers thus far - <code>os.getcwd()</code> and <code>os.path.abspath()</code> both give the current working directory which may or may not be the directory where the script resides. In my web host setup <code><code>__file__</code></code> gives only the filename without the path.</p>

<p>Isn't there any way in Python to (always) be able to receive the path in which the script resides?</p>
"
12309269|How do I write JSON data to a file?|"<p>I have JSON data stored in the variable <code>data</code>.</p>

<p>I want to write this to a text file for testing so I don't have to grab the data from the server each time.</p>

<p>Currently, I am trying this:</p>

<pre><code>obj = open('data.txt', 'wb')
obj.write(data)
obj.close
</code></pre>

<p>And am receiving the error: </p>

<p><code>TypeError: must be string or buffer, not dict</code></p>

<p>How to fix this?</p>
"
1747817|Create a dictionary with list comprehension in Python|"<p>I like the Python list comprehension syntax.</p>

<p>Can it be used to create dictionaries too? For example, by iterating over pairs of keys and values:</p>

<pre><code>mydict = {(k,v) for (k,v) in blah blah blah}  # doesn't work
</code></pre>
"
865115|How do I correctly clean up a Python object?|"<pre><code>class Package:
    def __init__(self):
        self.files = []

    # ...

    def __del__(self):
        for file in self.files:
            os.unlink(file)
</code></pre>

<p><code>__del__(self)</code> above fails with an AttributeError exception.  I understand <a href=""http://docs.python.org/reference/datamodel.html#customization"" rel=""noreferrer"">Python doesn't guarantee</a> the existence of ""global variables"" (member data in this context?) when <code>__del__()</code> is invoked.  If that is the case and this is the reason for the exception, how do I make sure the object destructs properly?</p>
"
