Id|Body
35823399|"Adding this answer for completeness, though it's only usable under certain conditions.

If you have very large lists, removing from the end of the list avoids CPython internals having to <code><<memmove>></code>, for situations where you can re-order the list. It gives a performance gain to remove from the end of the list, since it won't need to <code><<memmove>></code> every item after the one your removing - back one step (1).
For one-off removals the performance difference may be acceptable, but if you have a large list and need to remove many items - you will likely notice a performance hit.

Although admittedly, in these cases, doing a full list search is likely to be a performance bottleneck too, unless items are mostly at the front of the list.

This method can be used for more efficient removal,as long as re-ordering the list is acceptable. (2)

<code><<def>> <<remove_unordered(>><<ls>>, <<item>>)<<:>>
    <<i>> <<=>> <<ls>>.<<index(>><<item>>)
    <<ls>>[-<<1>>], <<ls>>[<<i>>] <<=>> <<ls>>[<<i>>], <<ls>>[-<<1>>]
    <<ls>>.<<pop(>>)
</code>

You may want to avoid raising an error when the <code><<item>></code> isn't in the list.

<code><<def>> <<remove_unordered_test(>><<ls>>, <<item>>)<<:>>
    <<try>><<:>>
        <<i>> <<=>> <<ls>>.<<index(>><<item>>)
    <<except>> <<ValueError>><<:>>
        <<return>> <<False>>
    <<ls>>[-<<1>>], <<ls>>[<<i>>] <<=>> <<ls>>[<<i>>], <<ls>>[-<<1>>]
    <<ls>>.<<pop(>>)
    <<return>> <<True>>
</code>




While I tested this with CPython, its quite likely most/all other Python implementations use an array to store lists internally. So unless they use a sophisticated data structure designed for efficient list re-sizing, they likely have the same performance characteristic.



  A simple way to test this, compare the speed difference from removing from the front of the list with removing the last element:

<code><<python>> -<<m>> <<timeit>> '<<a = [0]>> * <<100000>>' '<<while>> <<a:>> <<a>>.<<remove(0>>)'
</code>
  
  With:

<code><<python>> -<<m>> <<timeit>> '<<a = [0]>> * <<100000>>' '<<while>> <<a:>> <<a>>.<<pop>>()'
</code>
  
  (gives an order of magnitude speed difference where the second example is faster with CPython and PyPy).



In this case you might consider using a <code><<set>></code>, especially if the list isn't meant to store duplicates.In practice though you may need to store mutable data which can't be added to a <code><<set>></code>. Also check on btree's if the data can be ordered.

"
45074712|"Python classes are themselves objects - as in instance - of their meta-class. 

The default metaclass, which is applied when when you determine classes as:

<code><<class>> <<foo>><<:>>
    ...
</code>

meta class are used to apply some rule to an entire set of classes. For example, suppose you're building an ORM to access a database, and you want records from each table to be of a class mapped to that table (based on fields, business rules, etc..,), a possible use of metaclass is for instance, connection pool logic, which is share by all classes of record from all tables. Another use is logic to to support foreign keys, which involves multiple classes of records. 

when you define metaclass, you subclass type, and can overrided the following magic methods to insert your logic. 

<code><<class>> <<somemeta(>><<type>>)<<:>>
    <<__new__(>><<mcs>>, <<name>>, <<bases>>, <<clsdict>>)<<:>>
      """"""
  <<mcs>><<:>> <<is>> <<the>> <<base>> <<metaclass>>, <<in>> <<this>> <<case>> <<type>>.
  <<name>><<:>> <<name>> <<of>> <<the>> <<new>> <<class>>, <<as>> <<provided>> <<by>> <<the>> <<user>>.
  <<bases>><<:>> <<tuple>> <<of>> <<base>> <<classes>> 
  <<clsdict>><<:>> <<a>> <<dictionary>> <<containing>> <<all>> <<methods>> <<and>> <<attributes>> <<defined>> <<on>> <<class>>

  <<you>> <<must>> <<return>> <<a>> <<class>> <<object>> <<by>> <<invoking>> <<the>> <<__new__>> <<constructor>> <<on>> <<the>> <<base>> <<metaclass>>. 
 <<ie>><<:>> 
    <<return>> <<type>>.<<__call__(>><<mcs>>, <<name>>, <<bases>>, <<clsdict>>).

  <<in>> <<the>> <<following>> <<case>><<:>>

  <<class>> <<foo(>><<baseclass>>)<<:>>
        <<__metaclass__>> <<=>> <<somemeta>>

  <<an_attr>> <<=>> <<12>>

  <<def>> <<bar(>><<self>>)<<:>>
      ...

  <<@>><<classmethod>>
  <<def>> <<foo(>><<cls>>)<<:>>
      ...

      <<arguments>> <<would>> <<be>> <<:>> ( <<somemeta>>, ""<<foo>>"", (<<baseclass>>, <<baseofbase>>,..., <<object>>), <<{>>""<<an_attr>>""<<:>><<12>>, ""<<bar>>""<<:>> <<&lt>>;<<function>><<&gt>>;, ""<<foo>>""<<:>> <<&lt>>;<<bound>> <<class>> <<method>><<&gt>>;<<}>>

      <<you>> <<can>> <<modify>> <<any>> <<of>> <<these>> <<values>> <<before>> <<passing>> <<on>> <<to>> <<type>>
      """"""
      <<return>> <<type>>.<<__call__(>><<mcs>>, <<name>>, <<bases>>, <<clsdict>>)


    <<def>> <<__init__(>><<self>>, <<name>>, <<bases>>, <<clsdict>>)<<:>>
      """""" 
      <<called>> <<after>> <<type>> <<has>> <<been>> <<created>>. <<unlike>> <<in>> <<standard>> <<classes>>, <<__init__>> <<method>> <<cannot>> <<modify>> <<the>> <<instance>> (<<cls>>) - <<and>> <<should>> <<be>> <<used>> <<for>> <<class>> <<validaton>>.
      """"""
      <<pass>>


    <<def>> <<__prepare__(>>)<<:>>
        """"""
        <<returns>> <<a>> <<dict>> <<or>> <<something>> <<that>> <<can>> <<be>> <<used>> <<as>> <<a>> <<namespace>>.
        <<the>> <<type>> <<will>> <<then>> <<attach>> <<methods>> <<and>> <<attributes>> <<from>> <<class>> <<definition>> <<to>> <<it>>.

        <<call>> <<order>> <<:>>

        <<somemeta>>.<<__new__>> -<<&gt>>;  <<type>>.<<__new__>> -<<&gt>>; <<type>>.<<__init__>> -<<&gt>>; <<somemeta>>.<<__init__>> 
        """"""
        <<return>> <<dict(>>)

    <<def>> <<mymethod(>><<cls>>)<<:>>
        """""" <<works>> <<like>> <<a>> <<classmethod>>, <<but>> <<for>> <<class>> <<objects>>. <<Also>>, <<my>> <<method>> <<will>> <<not>> <<be>> <<visible>> <<to>> <<instances>> <<of>> <<cls>>.
        """"""
        <<pass>>
</code>

anyhow, those two are the most commonly used hooks. metaclassing is powerful, and above is nowhere near and exhaustive list of uses for metaclassing. 
"
13891070|"The <code><<time>>.<<time(>>)</code> function returns the number of seconds since the epoch as seconds in UTC.

Here is some sample output I ran on my computer, converting it to a string as well.

<code><<Python>> <<2.7>><<.3>> (<<default>>, <<Apr>> <<24>> <<2012>>, <<00>><<:>><<00>><<:>><<54>>) 
[<<GCC>> <<4.7>><<.0>> <<20120414>> (<<prerelease>>)] <<on>> <<linux2>>
<<Type>> ""<<help>>"", ""<<copyright>>"", ""<<credits>>"" <<or>> ""<<license>>"" <<for>> <<more>> <<information>>.
<<&gt>>;<<&gt>>;<<&gt>>; <<import>> <<time>>
<<&gt>>;<<&gt>>;<<&gt>>; <<ts>> <<=>> <<time>>.<<time(>>)
<<&gt>>;<<&gt>>;<<&gt>>; <<print>> <<ts>>
<<1355563265.81>>
<<&gt>>;<<&gt>>;<<&gt>>; <<import>> <<datetime>>
<<&gt>>;<<&gt>>;<<&gt>>; <<st>> <<=>> <<datetime>>.<<datetime>>.<<fromtimestamp(>><<ts>>).<<strftime(>>'<<%Y-%m-%d>> <<%H:%M:%S>>')
<<&gt>>;<<&gt>>;<<&gt>>; <<print>> <<st>>
<<2012>>-<<12>>-<<15>> <<0>><<1>><<:>><<21>><<:>><<0>><<5>>
<<&gt>>;<<&gt>>;<<&gt>>;
</code>

The <code><<ts>></code> variable is the time returned in seconds.  I then converted it to a string using the <code><<datetime>></code> library making it a string that is human readable. 
"
37403193|"Here's a fast generator that uses a dict to store each element as a key with a boolean value for checking if the duplicate item has already been yielded.

For lists with all elements that are hashable types:

<code><<def>> <<gen_dupes(>><<array>>)<<:>>
    <<unique>> <<=>> <<{>><<}>>
    <<for>> <<value>> <<in>> <<array>><<:>>
        <<if>> <<value>> <<in>> <<unique>> <<and>> <<unique>>[<<value>>]<<:>>
            <<unique>>[<<value>>] <<=>> <<False>>
            <<yield>> <<value>>
        <<else>><<:>>
            <<unique>>[<<value>>] <<=>> <<True>>

<<array>> <<=>> [<<1>>, <<2>>, <<2>>, <<3>>, <<4>>, <<1>>, <<5>>, <<2>>, <<6>>, <<6>>]
<<print(>><<list(>><<gen_dupes(>><<array>>)))
# <<=&gt;>> <<[2>>, <<1>>, <<6]>>
</code>

For lists that might contain lists:

<code><<def>> <<gen_dupes(>><<array>>)<<:>>
    <<unique>> <<=>> <<{>><<}>>
    <<for>> <<value>> <<in>> <<array>><<:>>
        <<is_list>> <<=>> <<False>>
        <<if>> <<type(>><<value>>) <<is>> <<list>><<:>>
            <<value>> <<=>> <<tuple(>><<value>>)
            <<is_list>> <<=>> <<True>>

        <<if>> <<value>> <<in>> <<unique>> <<and>> <<unique>>[<<value>>]<<:>>
            <<unique>>[<<value>>] <<=>> <<False>>
            <<if>> <<is_list>><<:>>
                <<value>> <<=>> <<list(>><<value>>)

            <<yield>> <<value>>
        <<else>><<:>>
            <<unique>>[<<value>>] <<=>> <<True>>

<<array>> <<=>> [<<1>>, <<2>>, <<2>>, [<<1>>, <<2>>], <<3>>, <<4>>, [<<1>>, <<2>>], <<5>>, <<2>>, <<6>>, <<6>>]
<<print(>><<list(>><<gen_dupes(>><<array>>)))
# <<=&gt;>> <<[2>>, <<[1>>, <<2]>>, <<6]>>
</code>
"
32555515|"Below is a ""standard recursive answer"", similar to the other similar answer https://stackoverflow.com/a/23743696/711085 . (We don't realistically have to worry about running out of stack space since there's no way we could process all N! permutations.)

It visits every element in turn, and either takes it or leaves it (we can directly see the 2^N cardinality from this algorithm).

<code><<def>> <<combs(>><<xs>>, <<i>><<=>><<0>>)<<:>>
    <<if>> <<i>><<==>><<len(>><<xs>>)<<:>>
        <<yield>> ()
        <<return>>
    <<for>> <<c>> <<in>> <<combs(>><<xs>>,<<i>>+<<1>>)<<:>>
        <<yield>> <<c>>
        <<yield>> <<c>>+(<<xs>>[<<i>>],)
</code>



Demo:

<code><<&gt>>;<<&gt>>;<<&gt>>; <<list(>> <<combs(>><<range(>><<5>>)) )
[(), (<<0>>,), (<<1>>,), (<<1>>, <<0>>), (<<2>>,), (<<2>>, <<0>>), (<<2>>, <<1>>), (<<2>>, <<1>>, <<0>>), (<<3>>,), (<<3>>, <<0>>), (<<3>>, <<1>>), (<<3>>, <<1>>, <<0>>), (<<3>>, <<2>>), (<<3>>, <<2>>, <<0>>), (<<3>>, <<2>>, <<1>>), (<<3>>, <<2>>, <<1>>, <<0>>), (<<4>>,), (<<4>>, <<0>>), (<<4>>, <<1>>), (<<4>>, <<1>>, <<0>>), (<<4>>, <<2>>), (<<4>>, <<2>>, <<0>>), (<<4>>, <<2>>, <<1>>), (<<4>>, <<2>>, <<1>>, <<0>>), (<<4>>, <<3>>), (<<4>>, <<3>>, <<0>>), (<<4>>, <<3>>, <<1>>), (<<4>>, <<3>>, <<1>>, <<0>>), (<<4>>, <<3>>, <<2>>), (<<4>>, <<3>>, <<2>>, <<0>>), (<<4>>, <<3>>, <<2>>, <<1>>), (<<4>>, <<3>>, <<2>>, <<1>>, <<0>>)]

<<&gt>>;<<&gt>>;<<&gt>>; <<list(>><<sorted(>> <<combs(>><<range(>><<5>>)), <<key>><<=>><<len>>))
[(), 
 (<<0>>,), (<<1>>,), (<<2>>,), (<<3>>,), (<<4>>,), 
 (<<1>>, <<0>>), (<<2>>, <<0>>), (<<2>>, <<1>>), (<<3>>, <<0>>), (<<3>>, <<1>>), (<<3>>, <<2>>), (<<4>>, <<0>>), (<<4>>, <<1>>), (<<4>>, <<2>>), (<<4>>, <<3>>), 
 (<<2>>, <<1>>, <<0>>), (<<3>>, <<1>>, <<0>>), (<<3>>, <<2>>, <<0>>), (<<3>>, <<2>>, <<1>>), (<<4>>, <<1>>, <<0>>), (<<4>>, <<2>>, <<0>>), (<<4>>, <<2>>, <<1>>), (<<4>>, <<3>>, <<0>>), (<<4>>, <<3>>, <<1>>), (<<4>>, <<3>>, <<2>>), 
 (<<3>>, <<2>>, <<1>>, <<0>>), (<<4>>, <<2>>, <<1>>, <<0>>), (<<4>>, <<3>>, <<1>>, <<0>>), (<<4>>, <<3>>, <<2>>, <<0>>), (<<4>>, <<3>>, <<2>>, <<1>>), 
 (<<4>>, <<3>>, <<2>>, <<1>>, <<0>>)]

<<&gt>>;<<&gt>>;<<&gt>>; <<len(>><<set(>><<combs(>><<range(>><<5>>))))
<<32>>
</code>
"
6347576|"Here is a variant on Alec Thomas's solution:

<code><<def>> <<enum(>><<*>><<args>>, <<**>><<kwargs>>)<<:>>
    <<return>> <<type(>>'<<Enum>>', (), <<dict(>>(<<y>>, <<x>>) <<for>> <<x>>, <<y>> <<in>> <<enumerate(>><<args>>), <<**>><<kwargs>>)) 

<<x>> <<=>> <<enum(>>'<<POOH>>', '<<TIGGER>>', '<<EEYORE>>', '<<ROO>>', '<<PIGLET>>', '<<RABBIT>>', '<<OWL>>')
<<assert>> <<x>>.<<POOH>> <<==>> <<0>>
<<assert>> <<x>>.<<TIGGER>> <<==>> <<1>>
</code>
"
32649302|"<code><<from>> <<operator>> <<import>> <<truediv>>

<<c>> <<=>> <<truediv(>><<a>>, <<b>>)
</code>
"
35199035|"Here is a tiny timer class that returns ""hh:mm:ss"" string: 

<code><<class>> <<Timer>><<:>>
  <<def>> <<__init__(>><<self>>)<<:>>
    <<self>>.<<start>> <<=>> <<time>>.<<time(>>)

  <<def>> <<restart(>><<self>>)<<:>>
    <<self>>.<<start>> <<=>> <<time>>.<<time(>>)

  <<def>> <<get_time_hhmmss(>><<self>>)<<:>>
    <<end>> <<=>> <<time>>.<<time(>>)
    <<m>>, <<s>> <<=>> <<divmod(>><<end>> - <<self>>.<<start>>, <<60>>)
    <<h>>, <<m>> <<=>> <<divmod(>><<m>>, <<60>>)
    <<time_str>> <<=>> ""<<%>><<0>><<2>><<d>><<:>><<%>><<0>><<2>><<d>><<:>><<%>><<0>><<2>><<d>>"" <<%>> (<<h>>, <<m>>, <<s>>)
    <<return>> <<time_str>>
</code>

Usage: 

<code># <<Start>> <<timer>>
<<my_timer>> <<=>> <<Timer(>>)

# <<...>> <<do>> <<something>>

# <<Get>> <<time>> <<string:>>
<<time_hhmmss>> <<=>> <<my_timer>>.<<get_time_hhmmss(>>)
<<print(>>""<<Time>> <<elapsed>><<:>> <<%>><<s>>"" <<%>> <<time_hhmmss>> )

# <<...>> <<use>> <<the>> <<timer>> <<again>>
<<my_timer>>.<<restart(>>)

# <<...>> <<do>> <<something>>

# <<Get>> <<time:>>
<<time_hhmmss>> <<=>> <<my_timer>>.<<get_time_hhmmss(>>)

# <<...>> <<etc>>
</code>
"
16637874|"Just an FYI adding to Chris. B (best answer):

<code><<d>> <<=>> <<defaultdict(>><<int>>)
</code>

Works as well; the reason is that calling <code><<int(>>)</code> returns <code><<0>></code> which is what <code><<defaultdict>></code> does behind the scenes (when constructing a dictionary), hence the name ""Factory Function"" in the documentation.
"
5574749|"I would say that your first approach:

<code><<print>> <<&gt>>;<<&gt>>; <<sys>>.<<stderr>>, '<<spam>>' 
</code>

is the ""One . . . obvious way to do it""  The others don't satisfy rule #1 (""Beautiful is better than ugly."")
"
