Id|Body
35823399|"Adding this answer for completeness, though it's only usable under certain conditions.

If you have very large lists, removing from the end of the list avoids CPython internals having to <code><c>memmove</c></code>, for situations where you can re-order the list. It gives a performance gain to remove from the end of the list, since it won't need to <code><c>memmove</c></code> every item after the one your removing - back one step (1).
For one-off removals the performance difference may be acceptable, but if you have a large list and need to remove many items - you will likely notice a performance hit.

Although admittedly, in these cases, doing a full list search is likely to be a performance bottleneck too, unless items are mostly at the front of the list.

This method can be used for more efficient removal,as long as re-ordering the list is acceptable. (2)

<code><c>def</c> <c>remove_unordered(</c><c>ls</c>, <c>item</c>)<c>:</c>
    <c>i</c> <c>=</c> <c>ls</c><c>.</c><c>index(</c><c>item</c>)
    <c>ls</c>[<c>-</c><c>1</c>], <c>ls</c>[<c>i</c>] <c>=</c> <c>ls</c>[<c>i</c>], <c>ls</c>[<c>-</c><c>1</c>]
    <c>ls</c><c>.</c><c>pop(</c>)
</code>

You may want to avoid raising an error when the <code><c>item</c></code> isn't in the list.

<code><c>def</c> <c>remove_unordered_test(</c><c>ls</c>, <c>item</c>)<c>:</c>
    <c>try</c><c>:</c>
        <c>i</c> <c>=</c> <c>ls</c><c>.</c><c>index(</c><c>item</c>)
    <c>except</c> <c>ValueError</c><c>:</c>
        <c>return</c> <c>False</c>
    <c>ls</c>[<c>-</c><c>1</c>], <c>ls</c>[<c>i</c>] <c>=</c> <c>ls</c>[<c>i</c>], <c>ls</c>[<c>-</c><c>1</c>]
    <c>ls</c><c>.</c><c>pop(</c>)
    <c>return</c> <c>True</c>
</code>




While I tested this with CPython, its quite likely most/all other Python implementations use an array to store lists internally. So unless they use a sophisticated data structure designed for efficient list re-sizing, they likely have the same performance characteristic.



  A simple way to test this, compare the speed difference from removing from the front of the list with removing the last element:

<code><c>python</c> <c>-</c><c>m</c> <c>timeit</c> '<c>a</c> <c>=</c> [<c>0</c>] <c>*</c> <c>100000</c>' '<c>while</c> <c>a</c><c>:</c> <c>a</c><c>.</c><c>remove(</c><c>0</c>)'
</code>
  
  With:

<code><c>python</c> <c>-</c><c>m</c> <c>timeit</c> '<c>a</c> <c>=</c> [<c>0</c>] <c>*</c> <c>100000</c>' '<c>while</c> <c>a</c><c>:</c> <c>a</c><c>.</c><c>pop(</c>)'
</code>
  
  (gives an order of magnitude speed difference where the second example is faster with CPython and PyPy).



In this case you might consider using a <code><c>set</c></code>, especially if the list isn't meant to store duplicates.In practice though you may need to store mutable data which can't be added to a <code><c>set</c></code>. Also check on btree's if the data can be ordered.

"
45074712|"Python classes are themselves objects - as in instance - of their meta-class. 

The default metaclass, which is applied when when you determine classes as:

<code><c>class</c> <c>foo</c><c>:</c>
    ...
</code>

meta class are used to apply some rule to an entire set of classes. For example, suppose you're building an ORM to access a database, and you want records from each table to be of a class mapped to that table (based on fields, business rules, etc..,), a possible use of metaclass is for instance, connection pool logic, which is share by all classes of record from all tables. Another use is logic to to support foreign keys, which involves multiple classes of records. 

when you define metaclass, you subclass type, and can overrided the following magic methods to insert your logic. 

<code><c>class</c> <c>somemeta(</c><c>type</c>)<c>:</c>
    <c>__new__(</c><c>mcs</c>, <c>name</c>, <c>bases</c>, <c>clsdict</c>)<c>:</c>
      """"""
  <c>mcs</c><c>:</c> <c>is</c> <c>the</c> <c>base</c> <c>metaclass</c>, <c>in</c> <c>this</c> <c>case</c> <c>type</c><c>.</c>
  <c>name</c><c>:</c> <c>name</c> <c>of</c> <c>the</c> <c>new</c> <c>class</c>, <c>as</c> <c>provided</c> <c>by</c> <c>the</c> <c>user</c><c>.</c>
  <c>bases</c><c>:</c> <c>tuple</c> <c>of</c> <c>base</c> <c>classes</c> 
  <c>clsdict</c><c>:</c> <c>a</c> <c>dictionary</c> <c>containing</c> <c>all</c> <c>methods</c> <c>and</c> <c>attributes</c> <c>defined</c> <c>on</c> <c>class</c>

  <c>you</c> <c>must</c> <c>return</c> <c>a</c> <c>class</c> <c>object</c> <c>by</c> <c>invoking</c> <c>the</c> <c>__new__</c> <c>constructor</c> <c>on</c> <c>the</c> <c>base</c> <c>metaclass</c><c>.</c> 
 <c>ie</c><c>:</c> 
    <c>return</c> <c>type</c><c>.</c><c>__call__(</c><c>mcs</c>, <c>name</c>, <c>bases</c>, <c>clsdict</c>)<c>.</c>

  <c>in</c> <c>the</c> <c>following</c> <c>case</c><c>:</c>

  <c>class</c> <c>foo(</c><c>baseclass</c>)<c>:</c>
        <c>__metaclass__</c> <c>=</c> <c>somemeta</c>

  <c>an_attr</c> <c>=</c> <c>12</c>

  <c>def</c> <c>bar(</c><c>self</c>)<c>:</c>
      ...

  <c>@</c><c>classmethod</c>
  <c>def</c> <c>foo(</c><c>cls</c>)<c>:</c>
      ...

      <c>arguments</c> <c>would</c> <c>be</c> <c>:</c> ( <c>somemeta</c>, ""<c>foo</c>"", (<c>baseclass</c>, <c>baseofbase</c>,..., <c>object</c>), {""<c>an_attr</c>""<c>:</c><c>12</c>, ""<c>bar</c>""<c>:</c> <c>&lt;</c><c>function</c><c>&gt;</c>, ""<c>foo</c>""<c>:</c> <c>&lt;</c><c>bound</c> <c>class</c> <c>method</c><c>&gt;</c>}

      <c>you</c> <c>can</c> <c>modify</c> <c>any</c> <c>of</c> <c>these</c> <c>values</c> <c>before</c> <c>passing</c> <c>on</c> <c>to</c> <c>type</c>
      """"""
      <c>return</c> <c>type</c><c>.</c><c>__call__(</c><c>mcs</c>, <c>name</c>, <c>bases</c>, <c>clsdict</c>)


    <c>def</c> <c>__init__(</c><c>self</c>, <c>name</c>, <c>bases</c>, <c>clsdict</c>)<c>:</c>
      """""" 
      <c>called</c> <c>after</c> <c>type</c> <c>has</c> <c>been</c> <c>created</c><c>.</c> <c>unlike</c> <c>in</c> <c>standard</c> <c>classes</c>, <c>__init__</c> <c>method</c> <c>cannot</c> <c>modify</c> <c>the</c> <c>instance</c> (<c>cls</c>) <c>-</c> <c>and</c> <c>should</c> <c>be</c> <c>used</c> <c>for</c> <c>class</c> <c>validaton</c><c>.</c>
      """"""
      <c>pass</c>


    <c>def</c> <c>__prepare__(</c>)<c>:</c>
        """"""
        <c>returns</c> <c>a</c> <c>dict</c> <c>or</c> <c>something</c> <c>that</c> <c>can</c> <c>be</c> <c>used</c> <c>as</c> <c>a</c> <c>namespace</c><c>.</c>
        <c>the</c> <c>type</c> <c>will</c> <c>then</c> <c>attach</c> <c>methods</c> <c>and</c> <c>attributes</c> <c>from</c> <c>class</c> <c>definition</c> <c>to</c> <c>it</c><c>.</c>

        <c>call</c> <c>order</c> <c>:</c>

        <c>somemeta</c><c>.</c><c>__new__</c> <c>-</c><c>&gt;</c>  <c>type</c><c>.</c><c>__new__</c> <c>-</c><c>&gt;</c> <c>type</c><c>.</c><c>__init__</c> <c>-</c><c>&gt;</c> <c>somemeta</c><c>.</c><c>__init__</c> 
        """"""
        <c>return</c> <c>dict(</c>)

    <c>def</c> <c>mymethod(</c><c>cls</c>)<c>:</c>
        """""" <c>works</c> <c>like</c> <c>a</c> <c>classmethod</c>, <c>but</c> <c>for</c> <c>class</c> <c>objects</c><c>.</c> <c>Also</c>, <c>my</c> <c>method</c> <c>will</c> <c>not</c> <c>be</c> <c>visible</c> <c>to</c> <c>instances</c> <c>of</c> <c>cls</c><c>.</c>
        """"""
        <c>pass</c>
</code>

anyhow, those two are the most commonly used hooks. metaclassing is powerful, and above is nowhere near and exhaustive list of uses for metaclassing. 
"
13891070|"The <code><c>time</c><c>.</c><c>time(</c>)</code> function returns the number of seconds since the epoch as seconds in UTC.

Here is some sample output I ran on my computer, converting it to a string as well.

<code><c>Python</c> <c>2.7.3</c> (<c>default</c>, <c>Apr</c> <c>24</c> <c>2012</c>, <c>00</c><c>:</c><c>00</c><c>:</c><c>54</c>) 
[<c>GCC</c> <c>4.7.0</c> <c>20120414</c> (<c>prerelease</c>)] <c>on</c> <c>linux2</c>
<c>Type</c> ""<c>help</c>"", ""<c>copyright</c>"", ""<c>credits</c>"" <c>or</c> ""<c>license</c>"" <c>for</c> <c>more</c> <c>information</c><c>.</c>
<c>&gt;&gt;&gt;</c> <c>import</c> <c>time</c>
<c>&gt;&gt;&gt;</c> <c>ts</c> <c>=</c> <c>time</c><c>.</c><c>time(</c>)
<c>&gt;&gt;&gt;</c> <c>print</c> <c>ts</c>
<c>1355563265.81</c>
<c>&gt;&gt;&gt;</c> <c>import</c> <c>datetime</c>
<c>&gt;&gt;&gt;</c> <c>st</c> <c>=</c> <c>datetime</c><c>.</c><c>datetime</c><c>.</c><c>fromtimestamp(</c><c>ts</c>)<c>.</c><c>strftime(</c>'<c>%</c><c>Y</c><c>-</c><c>%</c><c>m</c><c>-</c><c>%</c><c>d</c> <c>%</c><c>H</c><c>:</c><c>%</c><c>M</c><c>:</c><c>%</c><c>S</c>')
<c>&gt;&gt;&gt;</c> <c>print</c> <c>st</c>
<c>2012-12-15</c> <c>0</c><c>1</c><c>:</c><c>21</c><c>:</c><c>0</c><c>5</c>
<c>&gt;&gt;&gt;</c>
</code>

The <code><c>ts</c></code> variable is the time returned in seconds.  I then converted it to a string using the <code><c>datetime</c></code> library making it a string that is human readable. 
"
37403193|"Here's a fast generator that uses a dict to store each element as a key with a boolean value for checking if the duplicate item has already been yielded.

For lists with all elements that are hashable types:

<code><c>def</c> <c>gen_dupes(</c><c>array</c>)<c>:</c>
    <c>unique</c> <c>=</c> {}
    <c>for</c> <c>value</c> <c>in</c> <c>array</c><c>:</c>
        <c>if</c> <c>value</c> <c>in</c> <c>unique</c> <c>and</c> <c>unique</c>[<c>value</c>]<c>:</c>
            <c>unique</c>[<c>value</c>] <c>=</c> <c>False</c>
            <c>yield</c> <c>value</c>
        <c>else</c><c>:</c>
            <c>unique</c>[<c>value</c>] <c>=</c> <c>True</c>

<c>array</c> <c>=</c> [<c>1</c>, <c>2</c>, <c>2</c>, <c>3</c>, <c>4</c>, <c>1</c>, <c>5</c>, <c>2</c>, <c>6</c>, <c>6</c>]
<c>print(</c><c>list(</c><c>gen_dupes(</c><c>array</c>)))
# <c>=</c><c>&gt;</c> [<c>2</c>, <c>1</c>, <c>6</c>]
</code>

For lists that might contain lists:

<code><c>def</c> <c>gen_dupes(</c><c>array</c>)<c>:</c>
    <c>unique</c> <c>=</c> {}
    <c>for</c> <c>value</c> <c>in</c> <c>array</c><c>:</c>
        <c>is_list</c> <c>=</c> <c>False</c>
        <c>if</c> <c>type(</c><c>value</c>) <c>is</c> <c>list</c><c>:</c>
            <c>value</c> <c>=</c> <c>tuple(</c><c>value</c>)
            <c>is_list</c> <c>=</c> <c>True</c>

        <c>if</c> <c>value</c> <c>in</c> <c>unique</c> <c>and</c> <c>unique</c>[<c>value</c>]<c>:</c>
            <c>unique</c>[<c>value</c>] <c>=</c> <c>False</c>
            <c>if</c> <c>is_list</c><c>:</c>
                <c>value</c> <c>=</c> <c>list(</c><c>value</c>)

            <c>yield</c> <c>value</c>
        <c>else</c><c>:</c>
            <c>unique</c>[<c>value</c>] <c>=</c> <c>True</c>

<c>array</c> <c>=</c> [<c>1</c>, <c>2</c>, <c>2</c>, [<c>1</c>, <c>2</c>], <c>3</c>, <c>4</c>, [<c>1</c>, <c>2</c>], <c>5</c>, <c>2</c>, <c>6</c>, <c>6</c>]
<c>print(</c><c>list(</c><c>gen_dupes(</c><c>array</c>)))
# <c>=</c><c>&gt;</c> [<c>2</c>, [<c>1</c>, <c>2</c>], <c>6</c>]
</code>
"
32555515|"Below is a ""standard recursive answer"", similar to the other similar answer https://stackoverflow.com/a/23743696/711085 . (We don't realistically have to worry about running out of stack space since there's no way we could process all N! permutations.)

It visits every element in turn, and either takes it or leaves it (we can directly see the 2^N cardinality from this algorithm).

<code><c>def</c> <c>combs(</c><c>xs</c>, <c>i</c><c>=</c><c>0</c>)<c>:</c>
    <c>if</c> <c>i</c><c>==</c><c>len(</c><c>xs</c>)<c>:</c>
        <c>yield</c> ()
        <c>return</c>
    <c>for</c> <c>c</c> <c>in</c> <c>combs(</c><c>xs</c>,<c>i</c><c>+</c><c>1</c>)<c>:</c>
        <c>yield</c> <c>c</c>
        <c>yield</c> <c>c</c><c>+</c>(<c>xs</c>[<c>i</c>],)
</code>



Demo:

<code><c>&gt;&gt;&gt;</c> <c>list(</c> <c>combs(</c><c>range(</c><c>5</c>)) )
[(), (<c>0</c>,), (<c>1</c>,), (<c>1</c>, <c>0</c>), (<c>2</c>,), (<c>2</c>, <c>0</c>), (<c>2</c>, <c>1</c>), (<c>2</c>, <c>1</c>, <c>0</c>), (<c>3</c>,), (<c>3</c>, <c>0</c>), (<c>3</c>, <c>1</c>), (<c>3</c>, <c>1</c>, <c>0</c>), (<c>3</c>, <c>2</c>), (<c>3</c>, <c>2</c>, <c>0</c>), (<c>3</c>, <c>2</c>, <c>1</c>), (<c>3</c>, <c>2</c>, <c>1</c>, <c>0</c>), (<c>4</c>,), (<c>4</c>, <c>0</c>), (<c>4</c>, <c>1</c>), (<c>4</c>, <c>1</c>, <c>0</c>), (<c>4</c>, <c>2</c>), (<c>4</c>, <c>2</c>, <c>0</c>), (<c>4</c>, <c>2</c>, <c>1</c>), (<c>4</c>, <c>2</c>, <c>1</c>, <c>0</c>), (<c>4</c>, <c>3</c>), (<c>4</c>, <c>3</c>, <c>0</c>), (<c>4</c>, <c>3</c>, <c>1</c>), (<c>4</c>, <c>3</c>, <c>1</c>, <c>0</c>), (<c>4</c>, <c>3</c>, <c>2</c>), (<c>4</c>, <c>3</c>, <c>2</c>, <c>0</c>), (<c>4</c>, <c>3</c>, <c>2</c>, <c>1</c>), (<c>4</c>, <c>3</c>, <c>2</c>, <c>1</c>, <c>0</c>)]

<c>&gt;&gt;&gt;</c> <c>list(</c><c>sorted(</c> <c>combs(</c><c>range(</c><c>5</c>)), <c>key</c><c>=</c><c>len</c>))
[(), 
 (<c>0</c>,), (<c>1</c>,), (<c>2</c>,), (<c>3</c>,), (<c>4</c>,), 
 (<c>1</c>, <c>0</c>), (<c>2</c>, <c>0</c>), (<c>2</c>, <c>1</c>), (<c>3</c>, <c>0</c>), (<c>3</c>, <c>1</c>), (<c>3</c>, <c>2</c>), (<c>4</c>, <c>0</c>), (<c>4</c>, <c>1</c>), (<c>4</c>, <c>2</c>), (<c>4</c>, <c>3</c>), 
 (<c>2</c>, <c>1</c>, <c>0</c>), (<c>3</c>, <c>1</c>, <c>0</c>), (<c>3</c>, <c>2</c>, <c>0</c>), (<c>3</c>, <c>2</c>, <c>1</c>), (<c>4</c>, <c>1</c>, <c>0</c>), (<c>4</c>, <c>2</c>, <c>0</c>), (<c>4</c>, <c>2</c>, <c>1</c>), (<c>4</c>, <c>3</c>, <c>0</c>), (<c>4</c>, <c>3</c>, <c>1</c>), (<c>4</c>, <c>3</c>, <c>2</c>), 
 (<c>3</c>, <c>2</c>, <c>1</c>, <c>0</c>), (<c>4</c>, <c>2</c>, <c>1</c>, <c>0</c>), (<c>4</c>, <c>3</c>, <c>1</c>, <c>0</c>), (<c>4</c>, <c>3</c>, <c>2</c>, <c>0</c>), (<c>4</c>, <c>3</c>, <c>2</c>, <c>1</c>), 
 (<c>4</c>, <c>3</c>, <c>2</c>, <c>1</c>, <c>0</c>)]

<c>&gt;&gt;&gt;</c> <c>len(</c><c>set(</c><c>combs(</c><c>range(</c><c>5</c>))))
<c>32</c>
</code>
"
6347576|"Here is a variant on Alec Thomas's solution:

<code><c>def</c> <c>enum(</c><c>*</c><c>args</c>, <c>**</c><c>kwargs</c>)<c>:</c>
    <c>return</c> <c>type(</c>'<c>Enum</c>', (), <c>dict(</c>(<c>y</c>, <c>x</c>) <c>for</c> <c>x</c>, <c>y</c> <c>in</c> <c>enumerate(</c><c>args</c>), <c>**</c><c>kwargs</c>)) 

<c>x</c> <c>=</c> <c>enum(</c>'<c>POOH</c>', '<c>TIGGER</c>', '<c>EEYORE</c>', '<c>ROO</c>', '<c>PIGLET</c>', '<c>RABBIT</c>', '<c>OWL</c>')
<c>assert</c> <c>x</c><c>.</c><c>POOH</c> <c>==</c> <c>0</c>
<c>assert</c> <c>x</c><c>.</c><c>TIGGER</c> <c>==</c> <c>1</c>
</code>
"
32649302|"<code><c>from</c> <c>operator</c> <c>import</c> <c>truediv</c>

<c>c</c> <c>=</c> <c>truediv(</c><c>a</c>, <c>b</c>)
</code>
"
35199035|"Here is a tiny timer class that returns ""hh:mm:ss"" string: 

<code><c>class</c> <c>Timer</c><c>:</c>
  <c>def</c> <c>__init__(</c><c>self</c>)<c>:</c>
    <c>self</c><c>.</c><c>start</c> <c>=</c> <c>time</c><c>.</c><c>time(</c>)

  <c>def</c> <c>restart(</c><c>self</c>)<c>:</c>
    <c>self</c><c>.</c><c>start</c> <c>=</c> <c>time</c><c>.</c><c>time(</c>)

  <c>def</c> <c>get_time_hhmmss(</c><c>self</c>)<c>:</c>
    <c>end</c> <c>=</c> <c>time</c><c>.</c><c>time(</c>)
    <c>m</c>, <c>s</c> <c>=</c> <c>divmod(</c><c>end</c> <c>-</c> <c>self</c><c>.</c><c>start</c>, <c>60</c>)
    <c>h</c>, <c>m</c> <c>=</c> <c>divmod(</c><c>m</c>, <c>60</c>)
    <c>time_str</c> <c>=</c> ""<c>%</c><c>0</c><c>2</c><c>d</c><c>:</c><c>%</c><c>0</c><c>2</c><c>d</c><c>:</c><c>%</c><c>0</c><c>2</c><c>d</c>"" <c>%</c> (<c>h</c>, <c>m</c>, <c>s</c>)
    <c>return</c> <c>time_str</c>
</code>

Usage: 

<code># <c>Start</c> <c>timer</c>
<c>my_timer</c> <c>=</c> <c>Timer(</c>)

# ... <c>do</c> <c>something</c>

# <c>Get</c> <c>time</c> <c>string</c><c>:</c>
<c>time_hhmmss</c> <c>=</c> <c>my_timer</c><c>.</c><c>get_time_hhmmss(</c>)
<c>print(</c>""<c>Time</c> <c>elapsed</c><c>:</c> <c>%</c><c>s</c>"" <c>%</c> <c>time_hhmmss</c> )

# ... <c>use</c> <c>the</c> <c>timer</c> <c>again</c>
<c>my_timer</c><c>.</c><c>restart(</c>)

# ... <c>do</c> <c>something</c>

# <c>Get</c> <c>time</c><c>:</c>
<c>time_hhmmss</c> <c>=</c> <c>my_timer</c><c>.</c><c>get_time_hhmmss(</c>)

# ... <c>etc</c>
</code>
"
16637874|"Just an FYI adding to Chris. B (best answer):

<code><c>d</c> <c>=</c> <c>defaultdict(</c><c>int</c>)
</code>

Works as well; the reason is that calling <code><c>int(</c>)</code> returns <code><c>0</c></code> which is what <code><c>defaultdict</c></code> does behind the scenes (when constructing a dictionary), hence the name ""Factory Function"" in the documentation.
"
5574749|"I would say that your first approach:

<code><c>print</c> <c>&gt;&gt;</c> <c>sys</c><c>.</c><c>stderr</c>, '<c>spam</c>' 
</code>

is the ""One . . . obvious way to do it""  The others don't satisfy rule #1 (""Beautiful is better than ugly."")
"
