Id,Title,Body
3061,"Calling a function of a module from a string with the function's name","What is the best way to go about calling a function given a string with the function's name in a Python program.  For example, let's say that I have a module <code>foo</code>, and I have a string whose contents are <code>""bar""</code>. What is the best way to go about calling <code>foo.bar()</code>?

I need to get the return value of the function, which is why I don't just use <code>eval</code>. I figured out how to do it by using <code>eval</code> to define a temp function that returns the result of that function call, but I'm hoping that there is a more elegant way to do this.
"
19151,"Build a Basic Python Iterator","How would one create an iterative function (or iterator object) in python?
"
22617,"Format numbers to strings in Python","I need to find out how to format numbers as strings. My code is here:

<code>return str(hours)+"":""+str(minutes)+"":""+str(seconds)+"" ""+ampm
</code>

Hours and minutes are integers, and seconds is a float.  the str() function will convert all of these numbers to the tenths (0.1) place.  So instead of my string outputting ""5:30:59.07 pm"", it would display something like ""5.0:30.0:59.1 pm"".

Bottom line, what library / function do I need to do this for me?
"
22676,"How do I download a file over HTTP using Python?","I have a small utility that I use to download a MP3 from a website on a schedule and then builds/updates a podcast XML file which I've obviously added to iTunes.

The text processing that creates/updates the XML file is written in Python. I use wget inside a Windows <code>.bat</code> file to download the actual MP3 however. I would prefer to have the entire utility written in Python though.

I struggled though to find a way to actually down load the file in Python, thus why I resorted to <code>wget</code>.

So, how do I download the file using Python?
"
25665,"Python module for converting PDF to text","Which are the best Python modules to convert PDF files into text? 
"
35988,"C-like structures in Python","Is there a way to conveniently define a C-like structure in Python? I'm tired of writing stuff like:

<code>class MyStruct():
    def __init__(self, field1, field2, field3):
        self.field1 = field1
        self.field2 = field2
        self.field3 = field3
</code>
"
36139,"How to sort a list of strings?","What is the best way of creating an alphabetically sorted list in Python?
"
36901,"What does ** (double star) and * (star) do for parameters?","In the following method definitions, what does the <code>*</code> and <code>**</code> do for <code>param2</code>?

<code>def foo(param1, *param2):
def bar(param1, **param2):
</code>
"
36932,"How can I represent an 'Enum' in Python?","I'm mainly a C# developer, but I'm currently working on a project in Python.

How can I represent the equivalent of an Enum in Python?  
"
38987,"How to merge two dictionaries in a single expression?","I have two Python dictionaries, and I want to write a single expression that returns these two dictionaries, merged.  The <code>update()</code> method would be what I need, if it returned its result instead of modifying a dict in-place.

<code>&gt;&gt;&gt; x = {'a':1, 'b': 2}
&gt;&gt;&gt; y = {'b':10, 'c': 11}
&gt;&gt;&gt; z = x.update(y)
&gt;&gt;&gt; print(z)
None
&gt;&gt;&gt; x
{'a': 1, 'b': 10, 'c': 11}
</code>

How can I get that final merged dict in <code>z</code>, not <code>x</code>?

(To be extra-clear, the last-one-wins conflict-handling of <code>dict.update()</code> is what I'm looking for as well.)
"
