Id,Title,Body
3061,"Calling a function of a module from a string with the function's name","What is the best way to go about calling a function given a string with the function's name in a Python program.  For example, let's say that I have a module <code><c>foo</c></code>, and I have a string whose contents are <code>""<c>bar</c>""</code>. What is the best way to go about calling <code><c>foo</c><c>.</c><c>bar(</c>)</code>?

I need to get the return value of the function, which is why I don't just use <code><c>eval</c></code>. I figured out how to do it by using <code><c>eval</c></code> to define a temp function that returns the result of that function call, but I'm hoping that there is a more elegant way to do this.
"
19151,"Build a Basic Python Iterator","How would one create an iterative function (or iterator object) in python?
"
22617,"Format numbers to strings in Python","I need to find out how to format numbers as strings. My code is here:

<code><c>return</c> <c>str(</c><c>hours</c>)<c>+</c>"":""<c>+</c><c>str(</c><c>minutes</c>)<c>+</c>"":""<c>+</c><c>str(</c><c>seconds</c>)<c>+</c>"" ""<c>+</c><c>ampm</c>
</code>

Hours and minutes are integers, and seconds is a float.  the str() function will convert all of these numbers to the tenths (0.1) place.  So instead of my string outputting ""5:30:59.07 pm"", it would display something like ""5.0:30.0:59.1 pm"".

Bottom line, what library / function do I need to do this for me?
"
22676,"How do I download a file over HTTP using Python?","I have a small utility that I use to download a MP3 from a website on a schedule and then builds/updates a podcast XML file which I've obviously added to iTunes.

The text processing that creates/updates the XML file is written in Python. I use wget inside a Windows <code><c>.</c><c>bat</c></code> file to download the actual MP3 however. I would prefer to have the entire utility written in Python though.

I struggled though to find a way to actually down load the file in Python, thus why I resorted to <code><c>wget</c></code>.

So, how do I download the file using Python?
"
25665,"Python module for converting PDF to text","Which are the best Python modules to convert PDF files into text? 
"
35988,"C-like structures in Python","Is there a way to conveniently define a C-like structure in Python? I'm tired of writing stuff like:

<code><c>class</c> <c>MyStruct(</c>):
    <c>def</c> <c>__init__(</c><c>self</c>, <c>field1</c>, <c>field2</c>, <c>field3</c>):
        <c>self</c><c>.</c><c>field1</c> <c>=</c> <c>field1</c>
        <c>self</c><c>.</c><c>field2</c> <c>=</c> <c>field2</c>
        <c>self</c><c>.</c><c>field3</c> <c>=</c> <c>field3</c>
</code>
"
36139,"How to sort a list of strings?","What is the best way of creating an alphabetically sorted list in Python?
"
36901,"What does ** (double star) and * (star) do for parameters?","In the following method definitions, what does the <code><c>*</c></code> and <code><c>**</c></code> do for <code><c>param2</c></code>?

<code><c>def</c> <c>foo(</c><c>param1</c>, <c>*</c><c>param2</c>):
<c>def</c> <c>bar(</c><c>param1</c>, <c>**</c><c>param2</c>):
</code>
"
36932,"How can I represent an 'Enum' in Python?","I'm mainly a C# developer, but I'm currently working on a project in Python.

How can I represent the equivalent of an Enum in Python?  
"
38987,"How to merge two dictionaries in a single expression?","I have two Python dictionaries, and I want to write a single expression that returns these two dictionaries, merged.  The <code><c>update(</c>)</code> method would be what I need, if it returned its result instead of modifying a dict in-place.

<code><c>&gt;&gt;&gt;</c> <c>x</c> <c>=</c> {'<c>a</c>':<c>1</c>, '<c>b</c>': <c>2</c>}
<c>&gt;&gt;&gt;</c> <c>y</c> <c>=</c> {'<c>b</c>':<c>10</c>, '<c>c</c>': <c>11</c>}
<c>&gt;&gt;&gt;</c> <c>z</c> <c>=</c> <c>x</c><c>.</c><c>update(</c><c>y</c>)
<c>&gt;&gt;&gt;</c> <c>print(</c><c>z</c>)
<c>None</c>
<c>&gt;&gt;&gt;</c> <c>x</c>
{'<c>a</c>': <c>1</c>, '<c>b</c>': <c>10</c>, '<c>c</c>': <c>11</c>}
</code>

How can I get that final merged dict in <code><c>z</c></code>, not <code><c>x</c></code>?

(To be extra-clear, the last-one-wins conflict-handling of <code><c>dict</c><c>.</c><c>update(</c>)</code> is what I'm looking for as well.)
"
39086,"Search and replace a line in a file in Python","I want to loop over the contents of a text file and do a search and replace on some lines and write the result back to the file. I could first load the whole file in memory and then write it back, but that probably is not the best way to do it.

What is the best way to do this, within the following code?

<code><c>f</c> <c>=</c> <c>open(</c><c>file</c>)
<c>for</c> <c>line</c> <c>in</c> <c>f</c>:
    <c>if</c> <c>line</c><c>.</c><c>contains(</c>'<c>foo</c>'):
        <c>newline</c> <c>=</c> <c>line</c><c>.</c><c>replace(</c>'<c>foo</c>', '<c>bar</c>')
        # <c>how</c> <c>to</c> <c>write</c> <c>this</c> <c>newline</c> <c>back</c> <c>to</c> <c>the</c> <c>file</c>
</code>
"
44778,"How would you make a comma-separated string from a list?","What would be your preferred way to concatenate strings from a sequence such that between each two consecutive pair a comma is added. That is, how do you map, for instance, <code>[ '<c>a</c>', '<c>b</c>', '<c>c</c>' ]</code> to <code>'<c>a</c>,<c>b</c>,<c>c</c>'</code>? (The cases <code>[ <c>s</c> ]</code> and <code>[]</code> should be mapped to <code><c>s</c></code> and <code>''</code>, respectively.)

I usually end up using something like <code>''<c>.</c><c>join(</c><c>map(</c><c>lambda</c> <c>x</c>: <c>x</c><c>+</c>',',<c>l</c>))[:<c>-</c><c>1</c>]</code>, but also feeling somewhat unsatisfied.

Edit: I'm both ashamed and happy that the solution is so simple. Obviously I have hardly a clue as to what I'm doing. (I probably needed ""simple"" concatenation in the past and somehow memorised <code><c>s</c><c>.</c><c>join(</c>[<c>e1</c>,<c>e2</c>,...])</code> as a shorthand for <code><c>s</c><c>+</c><c>e1</c><c>+</c><c>e2</c><c>+</c>...</code>.)
"
50499,"How do I get the path and name of the file that is currently executing?","I have scripts calling other script files but I need to get the filepath of the file that is currently running within the process. 

For example, let's say I have three files. Using execfile:


<code><c>script_1</c><c>.</c><c>py</c></code> calls <code><c>script_2</c><c>.</c><c>py</c></code>. 
In turn, <code><c>script_2</c><c>.</c><c>py</c></code> calls <code><c>script_3</c><c>.</c><c>py</c></code>. 


How can I get the file name and path of <code><c>script_3</c><c>.</c><c>py</c></code>, from code within <code><c>script_3</c><c>.</c><c>py</c></code>, without having to pass that information as arguments from <code><c>script_2</c><c>.</c><c>py</c></code>?

(Executing <code><c>os</c><c>.</c><c>getcwd(</c>)</code> returns the original starting script's filepath not the current file's.)
"
51520,"How to get an absolute file path in Python","Given a path such as <code>""<c>mydir</c><c>/myfile.txt</c>""</code>, how do I find the absolute filepath relative to the current working directory in Python? E.g. on Windows, I might end up with:

<code>""<c>C:/example/cwd/mydir/myfile.txt</c>""
</code>
"
53162,"How can I do a line break (line continuation) in Python?","I have a long line of code that I want to break up among multiple lines. What do I use and what is the syntax?

For example, adding a bunch of strings,

<code><c>e</c> <c>=</c> '<c>a</c>' <c>+</c> '<c>b</c>' <c>+</c> '<c>c</c>' <c>+</c> '<c>d</c>'
</code>

and have it like this:

<code><c>e</c> <c>=</c> '<c>a</c>' <c>+</c> '<c>b</c>' <c>+</c>
    '<c>c</c>' <c>+</c> '<c>d</c>'
</code>
"
53513,"Best way to check if a list,tuple or dict is empty","For example, if passed the following:
<code><c>a</c> <c>=</c> []</code>  or <code><c>a</c><c>=</c>{}</code> or <code><c>a</c><c>=</c>()</code>
How do I check to see if <code><c>a</c></code> is empty?
"
56011,"Single quotes vs. double quotes in Python","According to the documentation, they're pretty much interchangeable.  Is there a stylistic reason to use one over the other?
"
60208,"Replacements for switch statement in Python?","I want to write a function in Python that returns different fixed values based on the value of an input index.  

In other languages I would use a <code><c>switch</c></code> or <code><c>case</c></code> statement, but Python does not appear to have a <code><c>switch</c></code> statement.  What are the recommended Python solutions in this scenario?
"
67631,"How to import a module given the full path?","How can I load a Python module given its full path? Note that the file can be anywhere in the filesystem, as it is a configuration option.
"
68645,"Static class variables in Python","Is it possible to have static class variables or methods in python? What syntax is required to do this?
"
70528,"Why are Python's 'private' methods not actually private?","Python gives us the ability to create 'private' methods and variables within a class by prepending double underscores to the name, like this: <code><c>__myPrivateMethod(</c>)</code>. How, then, can one explain this

<code><c>>></c><c>></c> <c>class</c> <c>MyClass</c>:
...     <c>def</c> <c>myPublicMethod(</c><c>self</c>):
...             <c>print</c> '<c>public</c> <c>method</c>'
...     <c>def</c> <c>__myPrivateMethod(</c><c>self</c>):
...             <c>print</c> '<c>this</c> <c>is</c> <c>private</c><c>!</c><c>!</c>'
... 
<c>>></c><c>></c> <c>obj</c> <c>=</c> <c>MyClass(</c>)
<c>>></c><c>></c> <c>obj</c><c>.</c><c>myPublicMethod(</c>)
<c>public</c> <c>method</c>
<c>>></c><c>></c> <c>obj</c><c>.</c><c>__myPrivateMethod(</c>)
<c>Traceback</c> (<c>most</c> <c>recent</c> <c>call</c> <c>last</c>):
  <c>File</c> """", line 1, in 
<c>AttributeError</c>: <c>MyClass</c> <c>instance</c> <c>has</c> <c>no</c> <c>attribute</c> '<c>__myPrivateMethod</c>'
<c>>></c><c>></c> <c>dir(</c><c>obj</c>)
['<c>_MyClass__myPrivateMethod</c>', '<c>__doc__</c>', '<c>__module__</c>', '<c>myPublicMethod</c>']
<c>>></c><c>></c> <c>obj</c><c>.</c><c>_MyClass__myPrivateMethod(</c>)
<c>this</c> <c>is</c> <c>private</c><c>!</c><c>!</c>
</code>

What's the deal?!

I'll explain this a little for those who didn't quite get that.

<code><c>>></c><c>></c> <c>class</c> <c>MyClass</c>:
...     <c>def</c> <c>myPublicMethod(</c><c>self</c>):
...             <c>print</c> '<c>public</c> <c>method</c>'
...     <c>def</c> <c>__myPrivateMethod(</c><c>self</c>):
...             <c>print</c> '<c>this</c> <c>is</c> <c>private</c><c>!</c><c>!</c>'
... 
<c>>></c><c>></c> <c>obj</c> <c>=</c> <c>MyClass(</c>)
</code>

What I did there is create a class with a public method and a private method and instantiate it.

Next, I call its public method.

<code><c>>></c><c>></c> <c>obj</c><c>.</c><c>myPublicMethod(</c>)
<c>public</c> <c>method</c>
</code>

Next, I try and call its private method.

<code><c>>></c><c>></c> <c>obj</c><c>.</c><c>__myPrivateMethod(</c>)
<c>Traceback</c> (<c>most</c> <c>recent</c> <c>call</c> <c>last</c>):
  <c>File</c> """", line 1, in 
<c>AttributeError</c>: <c>MyClass</c> <c>instance</c> <c>has</c> <c>no</c> <c>attribute</c> '<c>__myPrivateMethod</c>'
</code>

Everything looks good here; we're unable to call it. It is, in fact, 'private'. Well, actually it isn't. Running dir() on the object reveals a new magical method that python creates magically for all of your 'private' methods.

<code><c>>></c><c>></c> <c>dir(</c><c>obj</c>)
['<c>_MyClass__myPrivateMethod</c>', '<c>__doc__</c>', '<c>__module__</c>', '<c>myPublicMethod</c>']
</code>

This new method's name is always an underscore, followed by the class name, followed by the method name.

<code><c>>></c><c>></c> <c>obj</c><c>.</c><c>_MyClass__myPrivateMethod(</c>)
<c>this</c> <c>is</c> <c>private</c><c>!</c><c>!</c>
</code>

So much for encapsulation, eh?

In any case, I'd always heard Python doesn't support encapsulation, so why even try? What gives?
"
70797,"Python: user input and commandline arguments","How do I have a Python script that can accept user input (assuming this is possible) and how do I make it read in arguments if run from the command line?
"
72852,"How to do relative imports in Python?","Imagine this directory structure:

<code><c>app</c><c>/
</c>   <c>__init__</c><c>.</c><c>py</c>
   <c>sub1</c><c>/
</c>      <c>__init__</c><c>.</c><c>py</c>
      <c>mod1</c><c>.</c><c>py</c>
   <c>sub2</c><c>/
</c>      <c>__init__</c><c>.</c><c>py</c>
      <c>mod2</c><c>.</c><c>py</c>
</code>

I'm coding <code><c>mod1</c></code>, and I need to import something from <code><c>mod2</c></code>. How should I do it?  

I tried <code><c>from</c> <c>.</c><c>.</c><c>sub2</c> <c>import</c> <c>mod2</c></code> but I'm getting an ""Attempted relative import in non-package"".

I googled around but found only ""<code><c>sys</c><c>.</c><c>path</c></code> manipulation"" hacks. Isn't there a clean way?  



Edit: all my <code><c>__init__</c><c>.</c><c>py</c></code>'s are currently empty  

Edit2: I'm trying to do this because sub2 contains classes that are shared across sub packages (<code><c>sub1</c></code>, <code><c>subX</c></code>, etc.).

Edit3: The behaviour I'm looking for is the same as described in PEP 366 (thanks John B)
"
72899,"How do I sort a list of dictionaries by values of the dictionary in Python?","I got a list of dictionaries and want that to be sorted by a value of that dictionary.

This

<code>[{'<c>name</c>':'<c>Homer</c>', '<c>age</c>':<c>39</c>}, {'<c>name</c>':'<c>Bart</c>', '<c>age</c>':<c>10</c>}]
</code>

sorted by name, should become

<code>[{'<c>name</c>':'<c>Bart</c>', '<c>age</c>':<c>10</c>}, {'<c>name</c>':'<c>Homer</c>', '<c>age</c>':<c>39</c>}]
</code>
"
73663,"Terminating a Python script","I am aware of the <code><c>die(</c>)</code> command in PHP which stops a script early.

How can I do this in Python?
"
79797,"How do I convert local time to UTC in Python?","How do I convert a datetime string in local time to a string in UTC time?

I'm sure I've done this before, but can't find it and SO will hopefully help me (and others) do that in future.

Clarification:  For example, if I have <code><c>2008-09-17</c> <c>14</c>:<c>0</c><c>2</c>:<c>00</c></code> in my local timezone (<code><c>+</c><c>10</c></code>), I'd like to generate a string with the equivalent <code><c>UTC</c></code> time: <code><c>2008-09-17</c> <c>0</c><c>4</c>:<c>0</c><c>2</c>:<c>00</c></code>.

Also, from http://lucumr.pocoo.org/2011/7/15/eppur-si-muove/, note that in general this isn't possible as with DST and other issues there is no unique conversion from local time to UTC time.
"
82831,"How do I check whether a file exists using Python?","How do I check whether a file exists, without using the <code><c>try</c></code> statement?
"
85451,"Python - time.clock() vs. time.time() - accuracy?","Which is better to use for timing in Python? time.clock() or time.time()? Which one provides more accuracy?

for example:

<code><c>start</c> <c>=</c> <c>time</c><c>.</c><c>clock(</c>)
... <c>do</c> <c>something</c>
<c>elapsed</c> <c>=</c> (<c>time</c><c>.</c><c>clock(</c>) <c>-</c> <c>start</c>)
</code>

vs.

<code><c>start</c> <c>=</c> <c>time</c><c>.</c><c>time(</c>)
... <c>do</c> <c>something</c>
<c>elapsed</c> <c>=</c> (<c>time</c><c>.</c><c>time(</c>) <c>-</c> <c>start</c>)
</code>
"
89228,"Calling an external command in Python","How can I call an external command (as if I'd typed it at the Unix shell or Windows command prompt) from within a Python script?
"
94935,"What is the difference between range and xrange functions in Python 2.X?","Apparently xrange is faster but I have no idea why it's faster (and no proof besides the anecdotal so far that it is faster) or what besides that is different about

<code><c>for</c> <c>i</c> <c>in</c> <c>range(</c><c>0</c>, <c>20</c>):
<c>for</c> <c>i</c> <c>in</c> <c>xrange(</c><c>0</c>, <c>20</c>):
</code>
"
100003,"What is a metaclass in Python?","What are metaclasses? What do you use them for?
"
101268,"Hidden features of Python","What are the lesser-known but useful features of the Python programming language?


Try to limit answers to Python core.
One feature per answer.
Give an example and short description of the feature, not just a link to documentation.
Label the feature using a title as the first line.


Quick links to answers:


Argument Unpacking
Braces
Chaining Comparison Operators
Decorators
Default Argument Gotchas / Dangers of Mutable Default arguments
Descriptors
Dictionary default <code><c>.</c><c>get</c></code> value
Docstring Tests
Ellipsis Slicing Syntax
Enumeration
For/else
Function as iter() argument
Generator expressions
<code><c>import</c> <c>this</c></code>
In Place Value Swapping
List stepping
<code><c>__missing__</c></code> items
Multi-line Regex
Named string formatting
Nested list/generator comprehensions
New types at runtime
<code><c>.</c><c>pth</c></code> files
ROT13 Encoding
Regex Debugging
Sending to Generators
Tab Completion in Interactive Interpreter
Ternary Expression
<code><c>try</c><c>/except/else</c></code>
Unpacking+<code><c>print(</c>)</code> function
<code><c>with</c></code> statement

"
101754,"Is there a way to run Python on Android?","We are working on an S60 version and this platform has a nice Python API. 

However, there is nothing official about Python on Android, but since Jython exists, is there a way to let the snake and the robot work together?
"
104420,"How to generate all permutations of a list in Python","How do you generate all the permutations of a list in Python, independently of the type of elements in that list?

For example:

<code><c>permutations(</c>[])
[]

<c>permutations(</c>[<c>1</c>])
[<c>1</c>]

<c>permutations(</c>[<c>1</c>, <c>2</c>])
[<c>1</c>, <c>2</c>]
[<c>2</c>, <c>1</c>]

<c>permutations(</c>[<c>1</c>, <c>2</c>, <c>3</c>])
[<c>1</c>, <c>2</c>, <c>3</c>]
[<c>1</c>, <c>3</c>, <c>2</c>]
[<c>2</c>, <c>1</c>, <c>3</c>]
[<c>2</c>, <c>3</c>, <c>1</c>]
[<c>3</c>, <c>1</c>, <c>2</c>]
[<c>3</c>, <c>2</c>, <c>1</c>]
</code>

EDIT:
Eliben pointed to a solution that's similar to mine although simpler, so I'm choosing it as the accepted answer, although Python 2.6+ has a builtin solution in the itertools module:

<code><c>import</c> <c>itertools</c>
<c>itertools</c><c>.</c><c>permutations(</c>[<c>1</c>, <c>2</c>, <c>3</c>])
</code>
"
120656,"Directory listing in Python","How do I get a list of all files (and directories) in a given directory in Python?
"
122327,"How do I find the location of my Python site-packages directory?","How do I find the location of my site-packages directory?
"
123198,"How do I copy a file in python?","How do I copy a file in Python? I couldn't find anything under <code><c>os</c></code>.
"
125703,"How to modify a text file?","I'm using Python, and would like to insert a string into a text file without deleting or copying the file. How can I do that?
"
126524,"Iterate a list with indexes in Python","I could swear I've seen the function (or method) that takes a list, like this <code>[<c>3</c>, <c>7</c>, <c>19</c>]</code> and makes it into iterable list of tuples, like so: <code>[(<c>0</c>,<c>3</c>), (<c>1</c>,<c>7</c>), (<c>2</c>,<c>19</c>)]</code> to use it instead of:

<code><c>for</c> <c>i</c> <c>in</c> <c>range(</c><c>len(</c><c>name_of_list</c>)):
    <c>name_of_list</c>[<c>i</c>] <c>=</c> <c>something</c>
</code>

but I can't remember the name and googling ""iterate list"" gets nothing.
"
127803,"How to parse an ISO 8601-formatted date?","I need to parse RFC 3339 strings like <code>""<c>2008-09-03T20</c>:<c>56</c>:<c>35.450686</c><c>Z</c>""</code> into Python's <code><c>datetime</c></code> type.

I have found <code><c>strptime</c></code> in the Python standard library, but it is not very convenient.

What is the best way to do this?
"
134934,"Display number with leading zeros","Given:

<code><c>a</c> <c>=</c> <c>1</c>
<c>b</c> <c>=</c> <c>10</c>
<c>c</c> <c>=</c> <c>100</c>
</code>

I want to display a leading zero for all numbers with less than 2 digits, i.e.:

<code><c>0</c><c>1</c>
<c>10</c>
<c>100</c>
</code>
"
136097,"What is the difference between @staticmethod and @classmethod in Python?","What is the difference between a function decorated with <code><c>@</c><c>staticmethod</c></code> and one decorated with <code><c>@</c><c>classmethod</c></code>?
"
139180,"listing all functions in a python module","I have a python module installed on my system and I'd like to be able to see what functions/classes/methods are available in it.   

I want to call the doc function on each one. In ruby I can do something like ClassName.methods to get a list of all the methods available on that class. Is there something similar in python?

eg. something like:

<code><c>from</c> <c>somemodule</c> <c>import</c> <c>foo</c>
<c>print</c> <c>foo</c><c>.</c><c>methods</c> # <c>or</c> <c>whatever</c> <c>is</c> <c>the</c> <c>correct</c> <c>method</c> <c>to</c> <c>call</c>
</code>
"
145270,"Calling C/C++ from python?","What would be the quickest way to construct a python binding to a C or C++ library?

(using windows if this matters)
"
151199,"How do I calculate number of days betwen two dates using Python?","If I have two dates (ex. <code>'<c>8</c><c>/18/2008</c>'</code> and <code>'<c>9</c><c>/26/2008</c>'</code>) what is the best way to get the difference measured in days?
"
152580,"What's the canonical way to check for type in python?","What is the best way to check whether a given object is of a given type? How about checking whether the object inherits from a given type?

Let's say I have an object <code><c>o</c></code>. How do I check whether it's a <code><c>str</c></code>?
"
