Id|Title|Body
509211|Explain slice notation|"I need a good explanation (references are a plus) on Python's slice notation. 

To me, this notation needs a bit of picking up. 

It looks extremely powerful, but I haven't quite got my head around it.
"
12836128|Convert list to tuple in Python|"I'm trying to convert a list to a tuple. 

When I google it, I find a lot of answers similar to:

<code><<l>> <<=>> [<<4>>,<<5>>,<<6>>]
<<tuple(>><<l>>)
</code>

But if I do that I get this error message:


  TypeError: 'tuple' object is not callable


How can I fix this problem?
"
6996603|How to delete a file or folder?|"How do I delete a file or folder in Python?
"
2582138|finding and replacing elements in a list (python)|"I have to search through a list and replace all occurrences of one element with another. So far my attempts in code are getting me nowhere, what is the best way to do this?

For example, suppose my list has the following integers

<code><<&gt>>;<<&gt>>;<<&gt>>; <<a>> <<=>> [<<1>>,<<2>>,<<3>>,<<4>>,<<5>>,<<1>>,<<2>>,<<3>>,<<4>>,<<5>>,<<1>>]
</code>

and I need to replace all occurrences of the number 1 with the value 10 so the output I need is 

<code><<&gt>>;<<&gt>>;<<&gt>>; <<a>> <<=>> [<<10>>, <<2>>, <<3>>, <<4>>, <<5>>, <<10>>, <<2>>, <<3>>, <<4>>, <<5>>, <<10>>]
</code>

Thus my goal is to replace all instances of the number 1 with the number 10.
"
4289331|Python: Extract numbers from a string|"I would extract all the numbers contained in a string. Which is the better suited for the purpose, regular expressions or the <code><<isdigit(>>)</code> method?

Example:

<code><<line>> <<=>> ""<<hello>> <<12>> <<hi>> <<89>>""
</code>

Result:

<code>[<<12>>, <<89>>]
</code>
"
2504411|Proper indentation for Python multiline strings|"What is the proper indentation for Python multiline strings within a function?

<code>    <<def>> <<method(>>)<<:>>
        <<string>> <<=>> """"""<<line>> <<one>>
<<line>> <<two>>
<<line>> <<three>>""""""
</code>

or

<code>    <<def>> <<method(>>)<<:>>
        <<string>> <<=>> """"""<<line>> <<one>>
        <<line>> <<two>>
        <<line>> <<three>>""""""
</code>

or something else?

It looks kind of weird to have the string hanging outside the function in the first example.
"
27341064|How do I fix 'ImportError: cannot import name IncompleteRead'?|"When I try to install anything with <code><<pip>></code> or <code><<pip3>></code>, I get:

<code>$ <<sudo>> <<pip3>> <<install>> <<python3>>-<<tk>>
<<Traceback>> (<<most>> <<recent>> <<call>> <<last>>)<<:>>
  <<File>> ""<</>><<usr>><</>><<bin>><</>><<pip3>>"", <<line>> <<9>>, <<in>> <<&lt>>;<<module>><<&gt>>;
    <<load_entry_point(>>'<<pip==1.5.6>>', '<<console_scripts>>', '<<pip3>>')()
  <<File>> ""<</>><<usr>><</>><<lib>><</>><<python3>><</>><<dist>>-<<packages>><</>><<pkg_resources>>.<<py>>"", <<line>> <<356>>, <<in>> <<load_entry_point>>
    <<return>> <<get_distribution(>><<dist>>).<<load_entry_point(>><<group>>, <<name>>)
  <<File>> ""<</>><<usr>><</>><<lib>><</>><<python3>><</>><<dist>>-<<packages>><</>><<pkg_resources>>.<<py>>"", <<line>> <<2476>>, <<in>> <<load_entry_point>>
    <<return>> <<ep>>.<<load(>>)
  <<File>> ""<</>><<usr>><</>><<lib>><</>><<python3>><</>><<dist>>-<<packages>><</>><<pkg_resources>>.<<py>>"", <<line>> <<2190>>, <<in>> <<load>>
    ['<<__name__>>'])
  <<File>> ""<</>><<usr>><</>><<lib>><</>><<python3>><</>><<dist>>-<<packages>><</>><<pip>><</>><<__init__>>.<<py>>"", <<line>> <<61>>, <<in>> <<&lt>>;<<module>><<&gt>>;
    <<from>> <<pip>>.<<vcs>> <<import>> <<git>>, <<mercurial>>, <<subversion>>, <<bazaar>>  # <<noqa>>
  <<File>> ""<</>><<usr>><</>><<lib>><</>><<python3>><</>><<dist>>-<<packages>><</>><<pip>><</>><<vcs>><</>><<mercurial>>.<<py>>"", <<line>> <<9>>, <<in>> <<&lt>>;<<module>><<&gt>>;
    <<from>> <<pip>>.<<download>> <<import>> <<path_to_url>>
  <<File>> ""<</>><<usr>><</>><<lib>><</>><<python3>><</>><<dist>>-<<packages>><</>><<pip>><</>><<download>>.<<py>>"", <<line>> <<25>>, <<in>> <<&lt>>;<<module>><<&gt>>;
    <<from>> <<requests>>.<<compat>> <<import>> <<IncompleteRead>>
<<ImportError>><<:>> <<cannot>> <<import>> <<name>> '<<IncompleteRead>>'
</code>

I have a Ubuntu 14.10 system.

How can I fix this problem?
"
4978787|How to split a string into array of characters with Python?|"I've tried to look around the web for answers to splitting a string into an array of characters but I can't seem to find a simple method

<code><<str>>.<<split(>><<//>>)</code> does not seem to work like Ruby does. Is there a simple way of doing this without looping?
"
713847|Recommendations of Python REST (web services) framework?|"Is there a list somewhere of recommendations of different Python-based REST frameworks for use on the serverside to write your own RESTful APIs? Preferably with pros and cons.

Please feel free to add recommendations here. :)
"
454854|No module named MySQLdb|"I am using Python version 2.5.4 and install MySQL version 5.0 and Django. Django is working fine with Python, but not MySQL. I am using it in Windows Vista.
"
