Id|Title|Body
509211|Explain slice notation|"I need a good explanation (references are a plus) on Python's slice notation. 

To me, this notation needs a bit of picking up. 

It looks extremely powerful, but I haven't quite got my head around it.
"
12836128|Convert list to tuple in Python|"I'm trying to convert a list to a tuple. 

When I google it, I find a lot of answers similar to:

<code><c>l</c> <c>=</c> [<c>4</c>,<c>5</c>,<c>6</c>]
<c>tuple(</c><c>l</c>)
</code>

But if I do that I get this error message:


  TypeError: 'tuple' object is not callable


How can I fix this problem?
"
6996603|How to delete a file or folder?|"How do I delete a file or folder in Python?
"
2582138|finding and replacing elements in a list (python)|"I have to search through a list and replace all occurrences of one element with another. So far my attempts in code are getting me nowhere, what is the best way to do this?

For example, suppose my list has the following integers

<code><c>&gt;&gt;&gt;</c> <c>a</c> <c>=</c> [<c>1</c>,<c>2</c>,<c>3</c>,<c>4</c>,<c>5</c>,<c>1</c>,<c>2</c>,<c>3</c>,<c>4</c>,<c>5</c>,<c>1</c>]
</code>

and I need to replace all occurrences of the number 1 with the value 10 so the output I need is 

<code><c>&gt;&gt;&gt;</c> <c>a</c> <c>=</c> [<c>10</c>, <c>2</c>, <c>3</c>, <c>4</c>, <c>5</c>, <c>10</c>, <c>2</c>, <c>3</c>, <c>4</c>, <c>5</c>, <c>10</c>]
</code>

Thus my goal is to replace all instances of the number 1 with the number 10.
"
4289331|Python: Extract numbers from a string|"I would extract all the numbers contained in a string. Which is the better suited for the purpose, regular expressions or the <code><c>isdigit(</c>)</code> method?

Example:

<code><c>line</c> <c>=</c> ""<c>hello</c> <c>12</c> <c>hi</c> <c>89</c>""
</code>

Result:

<code>[<c>12</c>, <c>89</c>]
</code>
"
2504411|Proper indentation for Python multiline strings|"What is the proper indentation for Python multiline strings within a function?

<code>    <c>def</c> <c>method(</c>)<c>:</c>
        <c>string</c> <c>=</c> """"""<c>line</c> <c>one</c>
<c>line</c> <c>two</c>
<c>line</c> <c>three</c>""""""
</code>

or

<code>    <c>def</c> <c>method(</c>)<c>:</c>
        <c>string</c> <c>=</c> """"""<c>line</c> <c>one</c>
        <c>line</c> <c>two</c>
        <c>line</c> <c>three</c>""""""
</code>

or something else?

It looks kind of weird to have the string hanging outside the function in the first example.
"
27341064|How do I fix 'ImportError: cannot import name IncompleteRead'?|"When I try to install anything with <code><c>pip</c></code> or <code><c>pip3</c></code>, I get:

<code><c>$</c> <c>sudo</c> <c>pip3</c> <c>install</c> <c>python3-tk</c>
<c>Traceback</c> (<c>most</c> <c>recent</c> <c>call</c> <c>last</c>)<c>:</c>
  <c>File</c> ""<c>/usr/bin/pip3</c>"", <c>line</c> <c>9</c>, <c>in</c> <c>&lt;</c><c>module</c><c>&gt;</c>
    <c>load_entry_point(</c>'<c>pip</c><c>==</c><c>1.5.6</c>', '<c>console_scripts</c>', '<c>pip3</c>')()
  <c>File</c> ""<c>/usr/lib/python3/dist-packages/pkg_resources.py</c>"", <c>line</c> <c>356</c>, <c>in</c> <c>load_entry_point</c>
    <c>return</c> <c>get_distribution(</c><c>dist</c>)<c>.</c><c>load_entry_point(</c><c>group</c>, <c>name</c>)
  <c>File</c> ""<c>/usr/lib/python3/dist-packages/pkg_resources.py</c>"", <c>line</c> <c>2476</c>, <c>in</c> <c>load_entry_point</c>
    <c>return</c> <c>ep</c><c>.</c><c>load(</c>)
  <c>File</c> ""<c>/usr/lib/python3/dist-packages/pkg_resources.py</c>"", <c>line</c> <c>2190</c>, <c>in</c> <c>load</c>
    ['<c>__name__</c>'])
  <c>File</c> ""<c>/usr/lib/python3/dist-packages/pip/__init__.py</c>"", <c>line</c> <c>61</c>, <c>in</c> <c>&lt;</c><c>module</c><c>&gt;</c>
    <c>from</c> <c>pip</c><c>.</c><c>vcs</c> <c>import</c> <c>git</c>, <c>mercurial</c>, <c>subversion</c>, <c>bazaar</c>  # <c>noqa</c>
  <c>File</c> ""<c>/usr/lib/python3/dist-packages/pip/vcs/mercurial.py</c>"", <c>line</c> <c>9</c>, <c>in</c> <c>&lt;</c><c>module</c><c>&gt;</c>
    <c>from</c> <c>pip</c><c>.</c><c>download</c> <c>import</c> <c>path_to_url</c>
  <c>File</c> ""<c>/usr/lib/python3/dist-packages/pip/download.py</c>"", <c>line</c> <c>25</c>, <c>in</c> <c>&lt;</c><c>module</c><c>&gt;</c>
    <c>from</c> <c>requests</c><c>.</c><c>compat</c> <c>import</c> <c>IncompleteRead</c>
<c>ImportError</c><c>:</c> <c>cannot</c> <c>import</c> <c>name</c> '<c>IncompleteRead</c>'
</code>

I have a Ubuntu 14.10 system.

How can I fix this problem?
"
4978787|How to split a string into array of characters with Python?|"I've tried to look around the web for answers to splitting a string into an array of characters but I can't seem to find a simple method

<code><c>str</c><c>.</c><c>split(</c><c>//)</c></code> does not seem to work like Ruby does. Is there a simple way of doing this without looping?
"
713847|Recommendations of Python REST (web services) framework?|"Is there a list somewhere of recommendations of different Python-based REST frameworks for use on the serverside to write your own RESTful APIs? Preferably with pros and cons.

Please feel free to add recommendations here. :)
"
454854|No module named MySQLdb|"I am using Python version 2.5.4 and install MySQL version 5.0 and Django. Django is working fine with Python, but not MySQL. I am using it in Windows Vista.
"
